Time,0-sgen-0-16.p_mw,0-sgen-12-39.p_mw,0-sgen-14-43.p_mw,0-sgen-3-22.p_mw,0-sgen-4-23.p_mw
1483267500000,4.326747675943407,4.326747675943407,8.653495351886814,4.326747675943407,4.326747675943407
1483268400000,4.352579015266962,4.352579015266962,8.705158030533925,4.352579015266962,4.352579015266962
1483269300000,4.39835930971168,4.39835930971168,8.79671861942336,4.39835930971168,4.39835930971168
1483270200000,4.47580018361276,4.47580018361276,8.95160036722552,4.47580018361276,4.47580018361276
1483271100000,4.569732326607509,4.569732326607509,9.139464653215018,4.569732326607509,4.569732326607509
1483272000000,4.603757817160486,4.603757817160486,9.207515634320972,4.603757817160486,4.603757817160486
1483272900000,4.594955830635165,4.594955830635165,9.18991166127033,4.594955830635165,4.594955830635165
1483273800000,4.587851132832274,4.587851132832274,9.175702265664547,4.587851132832274,4.587851132832274
1483274700000,4.591508109120718,4.591508109120718,9.183016218241436,4.591508109120718,4.591508109120718
1483275600000,4.629466260823122,4.629466260823122,9.258932521646244,4.629466260823122,4.629466260823122
1483276500000,4.617120229157228,4.617120229157228,9.234240458314456,4.617120229157228,4.617120229157228
1483277400000,4.63105061839768,4.63105061839768,9.26210123679536,4.63105061839768,4.63105061839768
1483278300000,4.701742195461231,4.701742195461231,9.40348439092246,4.701742195461231,4.701742195461231
1483279200000,4.680411494530811,4.680411494530811,9.360822989061624,4.680411494530811,4.680411494530811
1483280100000,4.656367124547113,4.656367124547113,9.312734249094229,4.656367124547113,4.656367124547113
1483281000000,4.6901501452826,4.6901501452826,9.3803002905652,4.6901501452826,4.6901501452826
1483281900000,4.642931639454689,4.642931639454689,9.285863278909378,4.642931639454689,4.642931639454689
1483282800000,4.626540015491496,4.626540015491496,9.253080030982993,4.626540015491496,4.626540015491496
1483283700000,4.628881676057666,4.628881676057666,9.257763352115331,4.628881676057666,4.628881676057666
1483284600000,4.668234859586725,4.668234859586725,9.33646971917345,4.668234859586725,4.668234859586725
1483285500000,4.750332482585353,4.750332482585353,9.500664965170706,4.750332482585353,4.750332482585353
1483286400000,4.8369971740641,4.8369971740641,9.6739943481282,4.8369971740641,4.8369971740641
1483287300000,4.782182387789619,4.782182387789619,9.564364775579238,4.782182387789619,4.782182387789619
1483288200000,4.687901486838207,4.687901486838207,9.375802973676414,4.687901486838207,4.687901486838207
1483289100000,4.676621658068399,4.676621658068399,9.353243316136798,4.676621658068399,4.676621658068399
1483290000000,4.736697707231978,4.736697707231978,9.473395414463956,4.736697707231978,4.736697707231978
1483290900000,4.795096396699222,4.795096396699222,9.590192793398444,4.795096396699222,4.795096396699222
1483291800000,4.798686942900683,4.798686942900683,9.597373885801366,4.798686942900683,4.798686942900683
1483292700000,4.793774437968249,4.793774437968249,9.587548875936498,4.793774437968249,4.793774437968249
1483293600000,4.806286544851602,4.806286544851602,9.612573089703204,4.806286544851602,4.806286544851602
1483294500000,4.814543804663658,4.814543804663658,9.629087609327316,4.814543804663658,4.814543804663658
1483295400000,4.862057924378647,4.862057924378647,9.724115848757291,4.862057924378647,4.862057924378647
1483296300000,4.899232201054644,4.899232201054644,9.798464402109287,4.899232201054644,4.899232201054644
1483297200000,4.952123836310951,4.952123836310951,9.904247672621905,4.952123836310951,4.952123836310951
1483298100000,4.887434217606365,4.887434217606365,9.77486843521273,4.887434217606365,4.887434217606365
1483299000000,4.933716059207808,4.933716059207808,9.867432118415616,4.933716059207808,4.933716059207808
1483299900000,4.918141525314513,4.918141525314513,9.836283050629026,4.918141525314513,4.918141525314513
1483300800000,4.902128552847128,4.902128552847128,9.804257105694257,4.902128552847128,4.902128552847128
1483301700000,4.89848486257608,4.89848486257608,9.79696972515216,4.89848486257608,4.89848486257608
1483302600000,4.888653209702513,4.888653209702513,9.777306419405026,4.888653209702513,4.888653209702513
1483303500000,4.915510893869964,4.915510893869964,9.831021787739928,4.915510893869964,4.915510893869964
1483304400000,5.0,5.0,10.0,5.0,5.0
1483305300000,4.957119378852115,4.957119378852115,9.91423875770423,4.957119378852115,4.957119378852115
1483306200000,4.886308227631993,4.886308227631993,9.772616455263986,4.886308227631993,4.886308227631993
1483307100000,4.87072705073,4.87072705073,9.74145410146,4.87072705073,4.87072705073
1483308000000,4.821014095135856,4.821014095135856,9.642028190271713,4.821014095135856,4.821014095135856
1483308900000,4.798583976265859,4.798583976265859,9.597167952531718,4.798583976265859,4.798583976265859
1483309800000,4.755723284144068,4.755723284144068,9.511446568288136,4.755723284144068,4.755723284144068
1483310700000,4.751309004864011,4.751309004864011,9.502618009728025,4.751309004864011,4.751309004864011
