Time,0-sgen-14-43.p_mw,0-sgen-4-23.p_mw,0-sgen-12-39.p_mw,0-sgen-0-16.p_mw,0-sgen-3-22.p_mw
1500626700000,1.683012896737087,0.841506448368544,0.841506448368544,0.841506448368544,0.841506448368544
1500627600000,1.772055785329846,0.886027892664923,0.886027892664923,0.886027892664923,0.886027892664923
1500628500000,1.840538562001193,0.920269281000597,0.920269281000597,0.920269281000597,0.920269281000597
1500629400000,1.836393324573419,0.91819666228671,0.91819666228671,0.91819666228671,0.91819666228671
1500630300000,1.822223787019827,0.911111893509913,0.911111893509913,0.911111893509913,0.911111893509913
1500631200000,1.774958780131027,0.887479390065514,0.887479390065514,0.887479390065514,0.887479390065514
1500632100000,1.849745772057114,0.924872886028557,0.924872886028557,0.924872886028557,0.924872886028557
1500633000000,2.054855308627541,1.027427654313771,1.027427654313771,1.027427654313771,1.027427654313771
1500633900000,2.054370368992561,1.027185184496281,1.027185184496281,1.027185184496281,1.027185184496281
1500634800000,2.142735670698087,1.071367835349044,1.071367835349044,1.071367835349044,1.071367835349044
1500635700000,2.202104239435291,1.101052119717646,1.101052119717646,1.101052119717646,1.101052119717646
1500636600000,2.312896338506466,1.156448169253233,1.156448169253233,1.156448169253233,1.156448169253233
1500637500000,2.467997305595672,1.233998652797836,1.233998652797836,1.233998652797836,1.233998652797836
1500638400000,2.607088621721841,1.303544310860921,1.303544310860921,1.303544310860921,1.303544310860921
1500639300000,2.657482485707567,1.328741242853784,1.328741242853784,1.328741242853784,1.328741242853784
1500640200000,2.73846740474922,1.36923370237461,1.36923370237461,1.36923370237461,1.36923370237461
1500641100000,2.849784301507564,1.424892150753782,1.424892150753782,1.424892150753782,1.424892150753782
1500642000000,2.775854257703565,1.387927128851782,1.387927128851782,1.387927128851782,1.387927128851782
1500642900000,2.94485904199843,1.472429520999215,1.472429520999215,1.472429520999215,1.472429520999215
1500643800000,2.953494953306292,1.476747476653146,1.476747476653146,1.476747476653146,1.476747476653146
1500644700000,2.912075794072045,1.456037897036022,1.456037897036022,1.456037897036022,1.456037897036022
1500645600000,3.000852962316869,1.500426481158435,1.500426481158435,1.500426481158435,1.500426481158435
1500646500000,3.069076661648981,1.53453833082449,1.53453833082449,1.53453833082449,1.53453833082449
1500647400000,3.028062725945334,1.514031362972667,1.514031362972667,1.514031362972667,1.514031362972667
1500648300000,3.064114334151309,1.532057167075655,1.532057167075655,1.532057167075655,1.532057167075655
1500649200000,3.192596765386205,1.596298382693102,1.596298382693102,1.596298382693102,1.596298382693102
1500650100000,3.091629676179898,1.545814838089949,1.545814838089949,1.545814838089949,1.545814838089949
1500651000000,3.155050480223099,1.57752524011155,1.57752524011155,1.57752524011155,1.57752524011155
1500651900000,3.227631993261332,1.613815996630666,1.613815996630666,1.613815996630666,1.613815996630666
1500652800000,3.034034790765155,1.517017395382578,1.517017395382578,1.517017395382578,1.517017395382578
1500653700000,2.993020855061508,1.496510427530754,1.496510427530754,1.496510427530754,1.496510427530754
1500654600000,2.886812431992199,1.443406215996099,1.443406215996099,1.443406215996099,1.443406215996099
1500655500000,2.916048313273661,1.458024156636831,1.458024156636831,1.458024156636831,1.458024156636831
1500656400000,2.778876826661317,1.389438413330658,1.389438413330658,1.389438413330658,1.389438413330658
1500657300000,2.785918415881574,1.392959207940787,1.392959207940787,1.392959207940787,1.392959207940787
1500658200000,2.606862759426097,1.303431379713049,1.303431379713049,1.303431379713049,1.303431379713049
1500659100000,2.509263675629857,1.254631837814929,1.254631837814929,1.254631837814929,1.254631837814929
1500660000000,2.356261899289331,1.178130949644665,1.178130949644665,1.178130949644665,1.178130949644665
1500660900000,2.20029069806064,1.10014534903032,1.10014534903032,1.10014534903032,1.10014534903032
1500661800000,2.062813633048171,1.031406816524086,1.031406816524086,1.031406816524086,1.031406816524086
1500662700000,1.923137732156547,0.961568866078273,0.961568866078273,0.961568866078273,0.961568866078273
1500663600000,1.703639438745481,0.851819719372741,0.851819719372741,0.851819719372741,0.851819719372741
1500664500000,1.569131798621177,0.784565899310588,0.784565899310588,0.784565899310588,0.784565899310588
1500665400000,1.426247324528247,0.713123662264123,0.713123662264123,0.713123662264123,0.713123662264123
1500666300000,1.244793541932664,0.622396770966332,0.622396770966332,0.622396770966332,0.622396770966332
1500667200000,1.232676694066863,0.616338347033432,0.616338347033432,0.616338347033432,0.616338347033432
1500668100000,1.190002006188627,0.595001003094314,0.595001003094314,0.595001003094314,0.595001003094314
1500669000000,1.180648649941342,0.590324324970671,0.590324324970671,0.590324324970671,0.590324324970671
1500669900000,1.12010426866453,0.560052134332265,0.560052134332265,0.560052134332265,0.560052134332265
1500670800000,1.119041387272792,0.559520693636396,0.559520693636396,0.559520693636396,0.559520693636396
1500671700000,1.154348978504552,0.577174489252276,0.577174489252276,0.577174489252276,0.577174489252276
1500672600000,1.148589489963078,0.574294744981539,0.574294744981539,0.574294744981539,0.574294744981539
1500673500000,1.13084601372977,0.565423006864885,0.565423006864885,0.565423006864885,0.565423006864885
1500674400000,1.128979328285532,0.564489664142766,0.564489664142766,0.564489664142766,0.564489664142766
1500675300000,1.119121103377173,0.559560551688586,0.559560551688586,0.559560551688586,0.559560551688586
1500676200000,1.091240395870174,0.545620197935087,0.545620197935087,0.545620197935087,0.545620197935087
1500677100000,1.072387537184241,0.536193768592121,0.536193768592121,0.536193768592121,0.536193768592121
